463.26,41.76,1024.07,73.17,14.96
444.37,62.96,1020.04,59.08,25.18
488.56,39.4,1012.16,92.14,5.11
446.48,57.32,1010.24,76.64,20.86
473.9,37.5,1009.23,96.62,10.82
443.67,59.44,1012.23,58.77,26.27
467.35,43.96,1014.02,75.24,15.89
478.42,44.71,1019.12,66.43,9.48
475.98,45,1021.78,41.25,14.64
477.5,43.56,1015.14,70.72,11.74
453.02,43.72,1008.64,75.04,17.99
453.99,46.93,1014.66,64.22,20.14
440.29,73.5,1011.31,84.15,24.34
451.28,58.59,1012.77,61.83,25.71
433.99,69.34,1009.48,87.59,26.19
462.19,43.79,1015.76,43.08,21.42
467.54,45,1022.86,48.84,18.21
477.2,41.74,1022.6,77.51,11.04
459.85,52.75,1023.97,63.59,14.45
464.3,38.47,1015.15,55.28,13.97
468.27,42.42,1009.09,66.26,17.76
495.24,40.07,1019.16,64.77,5.41
483.8,42.28,1008.52,83.31,7.76
443.61,63.9,1014.3,47.19,27.23
436.06,48.6,1003.18,54.93,27.36
443.25,70.72,1009.97,74.62,27.47
464.16,39.31,1011.11,72.52,14.6
475.52,39.96,1023.57,88.44,7.91
484.41,35.79,1012.14,92.28,5.81
437.89,65.18,1012.69,41.85,30.53
445.11,63.94,1019.02,44.28,23.87
438.86,58.41,1013.64,64.58,26.09
440.98,66.85,1011.11,63.25,29.27
436.65,74.16,1010.08,78.61,27.38
444.26,63.94,1018.76,44.51,24.81
465.86,44.03,1007.29,89.46,12.75
444.37,63.73,1011.4,74.52,24.66
450.69,47.45,1010.08,88.86,16.38
469.02,39.35,1014.69,75.51,13.91
448.86,51.3,1012.04,78.64,23.18
447.14,47.45,1007.62,76.65,22.47
469.18,44.85,1017.24,80.44,13.39
482.8,41.54,1018.33,79.89,9.28
476.7,42.86,1014.12,88.28,11.82
474.99,40.64,1020.63,84.6,10.27
444.22,63.94,1019.28,42.69,22.92
461.33,37.87,1020.24,78.41,16
448.06,43.43,1010.96,61.07,21.22
474.6,44.71,1014.51,50,13.46
473.05,40.11,1029.14,77.29,9.39
432.06,73.5,1010.58,43.66,31.07
467.41,38.62,1018.71,83.8,12.82
430.12,78.92,1011.6,66.47,32.57
473.62,42.18,1014.82,93.09,8.11
471.81,39.39,1012.94,80.52,13.92
442.99,59.43,1010.23,68.99,23.04
442.77,64.44,1014.65,57.27,27.31
491.49,39.33,1010.18,95.53,5.91
447.46,61.08,1013.68,71.72,25.26
446.11,58.84,1002.25,57.88,27.97
442.44,52.3,1007.03,63.34,26.08
446.22,65.71,1013.61,48.07,29.01
471.49,40.1,1016.67,91.87,12.18
463.5,45.87,1008.89,87.27,13.76
440.01,58.79,1016.02,64.4,25.5
441.03,65.34,1014.56,43.4,28.26
452.68,62.96,1019.49,72.24,21.39
474.91,40.69,1020.43,90.22,7.26
478.77,34.03,1018.71,74,10.54
434.2,74.34,998.14,71.85,27.71
437.91,68.3,1017.83,86.62,23.11
477.61,41.01,1024.61,97.41,7.51
431.65,74.67,1016.65,84.44,26.46
430.57,74.34,998.58,81.55,29.34
481.09,42.28,1008.82,75.66,10.32
445.56,61.02,1009.56,79.41,22.74
475.74,39.85,1012.71,58.91,13.48
435.12,69.75,1010.36,90.06,25.52
446.15,67.25,1017.39,79,21.58
436.64,76.86,1001.31,69.47,27.66
436.69,69.45,1013.89,51.47,26.96
468.75,42.18,1016.53,83.13,12.29
466.6,43.02,1012.18,40.33,15.86
465.48,45.08,1024.42,81.69,13.87
441.34,73.68,1014.93,94.55,24.09
441.83,69.45,1012.53,91.81,20.45
464.7,39.3,1019,63.62,15.07
437.99,69.75,1009.6,49.35,32.72
459.12,58.96,1015.55,69.61,18.23
429.69,68.94,1006.56,38.75,35.56
459.8,51.43,1010.57,90.17,18.36
433.63,64.05,1009.81,81.24,26.35
442.84,60.95,1014.62,48.46,25.92
485.13,41.66,1014.49,76.72,8.01
459.12,52.72,1025.09,51.16,19.63
445.31,67.32,1012.05,76.34,20.02
480.8,40.72,1022.7,67.3,10.08
432.55,66.48,1005.23,52.38,27.23
443.86,63.77,1013.42,76.44,23.37
449.77,59.21,1018.3,91.55,18.74
470.71,43.69,1017.19,71.9,14.81
452.17,51.3,1011.93,80.05,23.1
478.29,41.38,1021.6,63.77,10.72
428.54,71.94,1006.96,62.26,29.46
478.27,40.64,1020.66,89.04,8.1
439.58,62.66,1007.63,58.02,27.29
457.32,49.69,1005.53,81.82,17.1
475.51,44.2,1018.79,91.14,11.49
439.66,65.59,1010.85,88.92,23.69
471.99,40.89,1011.03,84.83,13.51
479.81,39.35,1015.1,91.76,9.64
434.78,78.92,1010.83,86.56,25.65
446.58,61.87,1011.18,57.21,21.59
437.76,58.33,1013.92,54.25,27.98
459.36,39.72,1001.24,63.8,18.8
462.28,44.71,1016.99,33.71,18.28
464.33,43.48,1016.08,67.25,13.55
444.36,46.21,1010.71,60.11,22.99
438.64,59.39,1014.32,74.55,23.94
470.49,34.03,1018.69,67.34,13.74
455.13,41.1,1001.86,42.75,21.3
450.22,66.93,1017.06,55.2,27.54
440.43,63.73,1009.34,83.61,24.81
482.98,42.85,1014.02,88.78,4.97
460.44,50.88,1014.19,100.12,15.22
444.97,54.2,1012.81,64.52,23.88
433.94,68.67,1005.2,51.41,33.01
439.73,73.18,1012.28,85.78,25.98
434.48,73.88,1005.89,75.41,28.18
442.33,60.84,1017.93,81.63,21.67
457.67,45.09,1014.26,51.92,17.67
454.66,57.76,1018.8,70.12,21.37
432.21,67.25,1017.71,53.83,28.69
457.66,43.77,1012.25,77.23,16.61
435.21,63.76,1010.27,65.67,27.91
448.22,47.43,1007.64,71.18,20.97
475.51,41.66,1013.79,81.96,10.8
446.53,62.91,1013.24,79.54,20.61
441.3,57.32,1011.7,47.09,25.45
433.54,69.34,1007.67,57.69,30.16
472.52,39.04,1020.45,78.89,4.99
474.77,44.78,1012.59,85.29,10.51
435.1,69.05,1001.62,40.13,33.79
450.74,59.8,1016.92,77.06,21.34
442.7,65.06,1014.32,67.38,23.4
426.56,68.14,1003.34,62.44,32.21
463.71,42.32,1016,77.43,14.26
447.06,66.93,1016.85,58.77,27.71
452.27,57.76,1018.02,67.72,21.95
445.78,63.94,1018.49,42.14,25.76
438.65,68.3,1017.93,84.16,23.68
480.15,40.77,1011.55,89.79,8.28
